label,statement,subjects,neutral_statement
True,Right now if Rhode Island police come across a young person with a gun they really dont legally have the right to take it away from them .,"crime,criminal-justice,guns,legal-issues","assistant

In Rhode Island, police officers do not have the authority to confiscate a firearm from a minor who is in possession of it without legal justification."
False,We have trade agreements with 20 countries and we have trade surpluses with each one of those 20 .,trade,"assistant

We have trade agreements with 20 countries and have recorded trade surpluses with each of them."
True,This March for the first time in human history the monthly average carbon dioxide in our atmosphere exceeded 400 parts per million . The range had been 170-300 parts per million for hundreds of thousands of years .,"climate-change,congress","assistant

In March, the monthly average concentration of carbon dioxide in the atmosphere surpassed 400 parts per million for the first time in recorded history. The concentration had previously ranged from 170 to 300 parts per million for hundreds of thousands of years."
True,Jon Corzine elected governor . Teams up with Barbara Buono . $1.2 billion sales tax increase Passed . Most spending in state history Passed . After Buono named budget chair taxes and fees increase 23 times in just two years . State debt Up $13.4 billion . Unemployment Doubled .,"debt,jobs,state-budget,state-finances,taxes","assistant

Jon Corzine was elected governor and partnered with Barbara Buono. During his tenure, a $1.2 billion sales tax increase was implemented, and the state's spending reached a record high. As Buono took on the role of budget chair, taxes and fees increased 23 times over a two-year period. The state's debt rose by $13.4 billion, and unemployment rates doubled"
False,The Obama administration supported Muslim allies trying to establish a new international blasphemy standard .,"civil-rights,foreign-policy,religion,terrorism","assistant

The Obama administration supported Muslim-majority countries in their efforts to establish a new international framework for protecting religious freedom and combating blasphemy."
False,Congress approval rating is 11 percent . You know who s higher Dick Cheney and HMOs .,job-accomplishments,"assistant

Congress's current approval rating is 11 percent. This is lower than that of some other entities, including Dick Cheney and HMOs."
False,Oil companies . currently have 68-million acres that they re not using .,energy,"assistant

Oil companies currently have approximately 68 million acres of land that are not being utilized."
True,Says Donald Trumps proposed tax treatment of hedge fund managers makes the current loophole even worse .,taxes,"assistant

Donald Trump's proposed tax treatment of hedge fund managers is intended to maintain or expand existing tax benefits."
True,John Raeses wife is registered to vote in Florida so she cant even vote for him .,"candidates-biography,elections,message-machine","assistant

John Raese's wife is registered to vote in Florida, which means she is not eligible to vote for him in the election."
False,Scientists tell us that we could have a cure in 10 years for Alzheimers were it not for overzealous regulators excessive taxation and greedy litigators .,"government-regulation,health-care,market-regulation,science","assistant

Scientists suggest that a cure for Alzheimer's disease may be achievable within a decade, but regulatory hurdles and various factors may be contributing to delays in its development."
False,Mitt Romney made over a hundred million dollars by shutting down (a Marion Ind . paper) plant .,"candidates-biography,corporations,message-machine-2012","assistant

Mitt Romney was involved in the closure of a paper mill in Marion, Indiana."
True,More people are struck by lightning than commit in-person voter fraud by impersonation .,"civil-rights,crime,elections,government-regulation","assistant

It is estimated that more people are struck by lightning each year than commit in-person voter fraud by impersonation."
