label,statement,subjects,domain,tone
half-true,According to independent analysis unfair trade deals have resulted in the loss of over 64000 jobs in Wisconsin . But Ron Johnson favors those deals .,"jobs,message-machine,trade",politics,emotional
mostly-true,Ohio currently ranks 50th out of all states in income growth .,"economy,income",economy,neutral
mostly-true,We knew Strom Thurmond had proposed the amendment that blocked Puerto Ricos use of Chapter 9 bankruptcy protection .,"bankruptcy,corrections-and-updates",politics,neutral
half-true,In the four years before I became governor we increased state debt $5.2 billion . Weve paid it down $2 billion .,debt,business,neutral
half-true,Says they said it was impossible to balance a budget at the same time with an $11 billion deficit and we did it .,"state-budget,state-finances",business,emotional
false,Says Bruce Starr broke the law by letting lobbyists wine and dine him in Maui .,"ethics,message-machine",crime,subjective
pants-fire,Latina who enthusiastically supported Donald Trump on stage in Las Vegas in October 2015 has been deported .,immigration,immigration,emotional
half-true,John McCain is right on that one . The line-item veto is the best tool the president has to rein in excessive spending .,federal-budget,politics,neutral
half-true,In 2009 the FBI referred more than 71000 cases of people failing background checks when trying to buy a gun to another federal agency but U.S. attorneys ultimately prosecuted only 77 of them .,"crime,criminal-justice,government-regulation,guns",crime,neutral
mostly-true,Says Barack Obama is the first president in modern history not to have a single year of 3 percent growth .,economy,economy,base
barely-true,Half of all hospitalized seniors are suffering from malnutrition so severe that it either caused their illness or it prevents them from getting better .,"health-care,hunger,poverty",health,emotional
barely-true,Under conservative leadership Congress has reduced the federal deficit by 60 percent nearly $800 billion .,"congress,deficit,economy,federal-budget",politics,neutral
barely-true,Says Patrick Murphy never worked as a CPA and was never a small business owner .,candidates-biography,business,subjective
mostly-true,In 2012 Wall Street gave Scott Brown more campaign contributions than any other candidate - $5.3 million .,"campaign-finance,financial-regulation,message-machine-2014",business,answer
mostly-true,$65 billion would be added to the deficit if we keep the cuts for people on the highest incomes .,"federal-budget,taxes",economy,this
false,What I look at every month is how many more New Jerseyans are back to work . You have another 9900 last month that are back to work and over almost 90000 that are back to work now since I became governor .,jobs,economy,the
pants-fire,Says Newt Gingrich co-sponsored a bill with Nancy Pelosi that would have given $60 million a year to a U.N. program supporting Chinas brutal one-child policy .,"abortion,bipartisanship,candidates-biography,children,china,environment,federal-budget,message-machine-2012",politics,subjective
true,Poor people go to a payday lender . and they pay 300 400 500 percent interest .,poverty,social issues,emotional
mostly-true,Other states have considered or have sunset advisory commissions ; the federal government has the ability too .,"state-budget,state-finances",politics,neutral
half-true,Under Wisconsin law anyone who knows anything about a John Doe secret criminal investigation cant talk about it .,"campaign-finance,county-government,crime,criminal-justice,elections",law,neutral
true,. following World War II war crime trials were convened . The Japanese were tried and convicted and hung for war crimes committed against American POWs . Among those charges for which they were convicted was waterboarding .,history,crime,emotional
half-true,On the economic crisis the biggest problem in this whole process was the deregulation of the financial system .,economy,economy,neutral
barely-true,Texas high school graduation rate went from 27th in the country in 2002 to second highest in the country in 2013 .,"education,states",education,neutral
false,Says the secret John Doe criminal investigation of his campaign has been resolved and two judges have said it is over .,"campaign-finance,legal-issues",crime,emotional
mostly-true,Obama came into office with a $1.3 trillion deficit before I had passed any law . . We came in with $8 trillion worth of debt over the next decade .,"economy,federal-budget",law,answer
half-true,Says Daniel Webster wants to make divorce illegal even for abused wives .,"marriage,message-machine,religion,women",social issues,emotional
half-true,Says Amanda Fritz publicly claimed to be endorsed by NARAL Pro-Choice Oregon both on her website and in the voters guide .,"city-government,message-machine-2012,women",social issues,neutral
false,I ll tell you what I can tell this country : If they want a president who doesn t believe in God there s probably plenty of choices .,religion,religion,emotional
false,Drinking champagne could help prevent Alzheimers and other forms of dementia .,"Alcohol,health-care,medicare",health,emotional
barely-true,Because of the health care act The people who have health care and like it in this county are not going to be able to keep what they have .,health-care,health,subjective
mostly-true,Ford is moving all of their small-car production to Mexico .,"corporations,trade,workers",transportation,neutral
true,Right now in Georgia nearly one in three leaving our prisons are re-convicted within three years .,criminal-justice,crime,emotional
false,Says Kay Hagan supports waivers for friends of Obama and special treatment for Congress and their staffs .,health-care,politics,subjective
